rm -Rf scoring
rm -Rf package
rm -Rf package
mkdir package
mkdir package/predictions
mkdir package/datasets
rsync -ar --exclude='**/test_y.npy' datasets/* package/datasets/
cp -R evaluation/main.py package/main.py
cp -R daniel-1/* package
cd package; python3 main.py
==============================================================================
=============    Your NAS Unseen-Data 2026 Submission is running     =============
==============================================================================
========== Dataset   Ganges   =============================================
  Metadata:
   - num_classes         : 6
   - input_shape         : [4500, 1, 27, 18]
   - codename            : Ganges
   - benchmark           : 27.5
   - time_limit          : 0.1
   - time_remaining      : 359.9957920983434

=== Processing Data ===
  Allotted compute time remaining: ~5m,59s
[DataProcessor] augmentation: quantized/categorical (noise only) - shape 1x27x18, 2 unique values seen in 20000 sampled

=== Performing NAS ===
  Allotted compute time remaining: ~5m,57s
[NAS] macro: c0=32 n=2 d=2 stem_stride=1 (H=27, W=18 -> 6x4)
[NAS] scoring up to 15625 genotypes (full search space)
[NAS] scored 0 genotypes
[NAS] scored 380 genotypes, verifying top 14 (max_batches=20, batch_size=512, t_batch~0.085s, t_val~0.02s)
  [NAS] verify: val=15.50% t=0.7s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=17.00% t=0.6s
  [NAS] verify: val=18.50% t=0.6s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.83% t=0.5s
  [NAS] verify: val=15.83% t=0.6s
  [NAS] verify: val=15.00% t=0.5s
  [NAS] verify: val=15.50% t=0.6s
  [NAS] verify: val=15.50% t=0.6s
[NAS] selected genotype (val=18.50%): ['conv1x1', 'conv1x1', 'conv3x3', 'conv3x3', 'conv1x1', 'conv3x3']

=== Training ===
  Allotted compute time remaining: ~5m,36s
[Trainer] weight decay on 40 tensors, none on 79 (BN/bias)
  [Trainer] Epoch   1 | train=16.67% val=17.00% gap= -0.33 | loss=1.8460 | lr=0.01000 | t/ep=  0.5s t/eval= 0.1s | rem=   336s
  [Trainer] Epoch  52 | train=100.00% val=30.83% gap=+69.17 | loss=0.4262 | lr=0.00976 | t/ep=  0.5s t/eval= 0.0s | rem=   308s
  [Trainer] Epoch  53 | train=100.00% val=30.33% gap=+69.67 | loss=0.4256 | lr=0.00975 | t/ep=  0.5s t/eval= 0.0s | rem=   307s
  [Trainer] Epoch  54 | train=100.00% val=30.67% gap=+69.33 | loss=0.4255 | lr=0.00974 | t/ep=  0.5s t/eval= 0.0s | rem=   307s
  [Trainer] Epoch  55 | train=100.00% val=31.33% gap=+68.67 | loss=0.4257 | lr=0.00973 | t/ep=  0.5s t/eval= 0.0s | rem=   306s
  [Trainer] Epoch  56 | train=100.00% val=30.50% gap=+69.50 | loss=0.4254 | lr=0.00972 | t/ep=  0.5s t/eval= 0.0s | rem=   306s
  [Trainer] Epoch  57 | train=100.00% val=30.00% gap=+70.00 | loss=0.4254 | lr=0.00971 | t/ep=  0.5s t/eval= 0.0s | rem=   305s
  [Trainer] Epoch  58 | train=100.00% val=30.83% gap=+69.17 | loss=0.4253 | lr=0.00970 | t/ep=  0.5s t/eval= 0.0s | rem=   304s
  [Trainer] Epoch  59 | train=100.00% val=30.67% gap=+69.33 | loss=0.4255 | lr=0.00969 | t/ep=  0.5s t/eval= 0.0s | rem=   304s
  [Trainer] Epoch  60 | train=100.00% val=30.83% gap=+69.17 | loss=0.4250 | lr=0.00968 | t/ep=  0.5s t/eval= 0.0s | rem=   303s
  [Trainer] Epoch  61 | train=100.00% val=30.50% gap=+69.50 | loss=0.4250 | lr=0.00967 | t/ep=  0.5s t/eval= 0.0s | rem=   303s
  [Trainer] Epoch  62 | train=100.00% val=29.50% gap=+70.50 | loss=0.4250 | lr=0.00966 | t/ep=  0.5s t/eval= 0.0s | rem=   302s
  [Trainer] Epoch  63 | train=100.00% val=31.00% gap=+69.00 | loss=0.4253 | lr=0.00964 | t/ep=  0.5s t/eval= 0.0s | rem=   302s
  [Trainer] Epoch  64 | train=100.00% val=31.00% gap=+69.00 | loss=0.4247 | lr=0.00963 | t/ep=  0.5s t/eval= 0.0s | rem=   301s
  [Trainer] Epoch  65 | train=100.00% val=31.00% gap=+69.00 | loss=0.4246 | lr=0.00962 | t/ep=  0.5s t/eval= 0.0s | rem=   301s
  [Trainer] Epoch  66 | train=100.00% val=31.33% gap=+68.67 | loss=0.4244 | lr=0.00961 | t/ep=  0.5s t/eval= 0.0s | rem=   300s
  [Trainer] Epoch  67 | train=100.00% val=30.50% gap=+69.50 | loss=0.4244 | lr=0.00960 | t/ep=  0.5s t/eval= 0.0s | rem=   300s
  [Trainer] Epoch  68 | train=100.00% val=31.50% gap=+68.50 | loss=0.4243 | lr=0.00959 | t/ep=  0.5s t/eval= 0.0s | rem=   299s
  [Trainer] Epoch  69 | train=100.00% val=31.00% gap=+69.00 | loss=0.4243 | lr=0.00957 | t/ep=  0.5s t/eval= 0.0s | rem=   298s
  [Trainer] Epoch  70 | train=100.00% val=30.33% gap=+69.67 | loss=0.4242 | lr=0.00956 | t/ep=  0.6s t/eval= 0.0s | rem=   298s
  [Trainer] Epoch  71 | train=100.00% val=30.17% gap=+69.83 | loss=0.4240 | lr=0.00955 | t/ep=  0.5s t/eval= 0.0s | rem=   297s
  [Trainer] Epoch  72 | train=100.00% val=30.17% gap=+69.83 | loss=0.4239 | lr=0.00953 | t/ep=  0.5s t/eval= 0.1s | rem=   297s
  [Trainer] Epoch  73 | train=100.00% val=30.50% gap=+69.50 | loss=0.4241 | lr=0.00952 | t/ep=  0.5s t/eval= 0.0s | rem=   296s
  [Trainer] Epoch  74 | train=100.00% val=31.00% gap=+69.00 | loss=0.4241 | lr=0.00951 | t/ep=  0.5s t/eval= 0.0s | rem=   296s
  [Trainer] Epoch  75 | train=100.00% val=30.67% gap=+69.33 | loss=0.4239 | lr=0.00949 | t/ep=  0.5s t/eval= 0.0s | rem=   295s
  [Trainer] Epoch  76 | train=100.00% val=30.67% gap=+69.33 | loss=0.4240 | lr=0.00948 | t/ep=  0.5s t/eval= 0.0s | rem=   294s
  [Trainer] Epoch  77 | train=100.00% val=30.67% gap=+69.33 | loss=0.4239 | lr=0.00947 | t/ep=  0.5s t/eval= 0.0s | rem=   294s
  [Trainer] Epoch  78 | train=100.00% val=30.83% gap=+69.17 | loss=0.4238 | lr=0.00945 | t/ep=  0.5s t/eval= 0.0s | rem=   293s
  [Trainer] Epoch  79 | train=100.00% val=30.17% gap=+69.83 | loss=0.4236 | lr=0.00944 | t/ep=  0.5s t/eval= 0.0s | rem=   293s
  [Trainer] Epoch  80 | train=100.00% val=30.83% gap=+69.17 | loss=0.4235 | lr=0.00943 | t/ep=  0.5s t/eval= 0.0s | rem=   292s
  [Trainer] Epoch  81 | train=100.00% val=29.83% gap=+70.17 | loss=0.4237 | lr=0.00941 | t/ep=  0.5s t/eval= 0.0s | rem=   292s
  [Trainer] Epoch  82 | train=100.00% val=31.83% gap=+68.17 | loss=0.4235 | lr=0.00940 | t/ep=  0.5s t/eval= 0.1s | rem=   291s
  [Trainer] Epoch  83 | train=100.00% val=30.67% gap=+69.33 | loss=0.4233 | lr=0.00938 | t/ep=  0.5s t/eval= 0.0s | rem=   291s
  [Trainer] Epoch  84 | train=100.00% val=30.83% gap=+69.17 | loss=0.4235 | lr=0.00937 | t/ep=  0.5s t/eval= 0.0s | rem=   290s
  [Trainer] Epoch  85 | train=100.00% val=30.33% gap=+69.67 | loss=0.4233 | lr=0.00935 | t/ep=  0.5s t/eval= 0.0s | rem=   289s
  [Trainer] Epoch  86 | train=100.00% val=31.33% gap=+68.67 | loss=0.4235 | lr=0.00934 | t/ep=  0.5s t/eval= 0.0s | rem=   289s
  [Trainer] Epoch  87 | train=100.00% val=31.00% gap=+69.00 | loss=0.4235 | lr=0.00932 | t/ep=  0.5s t/eval= 0.0s | rem=   288s
  [Trainer] Epoch  88 | train=100.00% val=30.50% gap=+69.50 | loss=0.4233 | lr=0.00931 | t/ep=  0.5s t/eval= 0.0s | rem=   288s
  [Trainer] Epoch  89 | train=100.00% val=30.67% gap=+69.33 | loss=0.4235 | lr=0.00929 | t/ep=  0.5s t/eval= 0.0s | rem=   287s
  [Trainer] Epoch  90 | train=100.00% val=31.00% gap=+69.00 | loss=0.4232 | lr=0.00927 | t/ep=  0.5s t/eval= 0.0s | rem=   287s
  [Trainer] Epoch  91 | train=100.00% val=30.67% gap=+69.33 | loss=0.4233 | lr=0.00926 | t/ep=  0.5s t/eval= 0.0s | rem=   286s
  [Trainer] Epoch  92 | train=100.00% val=30.67% gap=+69.33 | loss=0.4236 | lr=0.00924 | t/ep=  0.5s t/eval= 0.0s | rem=   286s
  [Trainer] Epoch  93 | train=100.00% val=29.50% gap=+70.50 | loss=0.4234 | lr=0.00923 | t/ep=  0.5s t/eval= 0.0s | rem=   285s
  [Trainer] Epoch  94 | train=100.00% val=30.83% gap=+69.17 | loss=0.4235 | lr=0.00921 | t/ep=  0.5s t/eval= 0.0s | rem=   284s
  [Trainer] Epoch  95 | train=100.00% val=29.67% gap=+70.33 | loss=0.4235 | lr=0.00919 | t/ep=  0.5s t/eval= 0.0s | rem=   284s
  [Trainer] Epoch  96 | train=100.00% val=30.33% gap=+69.67 | loss=0.4232 | lr=0.00918 | t/ep=  0.5s t/eval= 0.0s | rem=   283s
  [Trainer] Epoch  97 | train=100.00% val=30.33% gap=+69.67 | loss=0.4235 | lr=0.00916 | t/ep=  0.5s t/eval= 0.0s | rem=   283s
  [Trainer] Epoch  98 | train=100.00% val=30.17% gap=+69.83 | loss=0.4231 | lr=0.00914 | t/ep=  0.5s t/eval= 0.0s | rem=   282s
  [Trainer] Epoch  99 | train=100.00% val=30.67% gap=+69.33 | loss=0.4232 | lr=0.00913 | t/ep=  0.5s t/eval= 0.0s | rem=   282s
  [Trainer] Epoch 100 | train=100.00% val=30.67% gap=+69.33 | loss=0.4232 | lr=0.00911 | t/ep=  0.5s t/eval= 0.0s | rem=   281s
  [Trainer] Epoch 101 | train=100.00% val=30.17% gap=+69.83 | loss=0.4232 | lr=0.00909 | t/ep=  0.5s t/eval= 0.0s | rem=   281s
  [Trainer] Epoch 102 | train=100.00% val=31.33% gap=+68.67 | loss=0.4232 | lr=0.00907 | t/ep=  0.5s t/eval= 0.0s | rem=   280s
  [Trainer] Epoch 103 | train=100.00% val=29.33% gap=+70.67 | loss=0.4231 | lr=0.00906 | t/ep=  0.5s t/eval= 0.0s | rem=   279s
  [Trainer] Epoch 104 | train=100.00% val=30.00% gap=+70.00 | loss=0.4229 | lr=0.00904 | t/ep=  0.5s t/eval= 0.0s | rem=   279s
  [Trainer] Epoch 105 | train=100.00% val=30.50% gap=+69.50 | loss=0.4229 | lr=0.00902 | t/ep=  0.5s t/eval= 0.0s | rem=   278s
  [Trainer] Epoch 106 | train=100.00% val=31.67% gap=+68.33 | loss=0.4230 | lr=0.00900 | t/ep=  0.5s t/eval= 0.0s | rem=   278s
  [Trainer] Epoch 107 | train=100.00% val=30.50% gap=+69.50 | loss=0.4233 | lr=0.00899 | t/ep=  0.5s t/eval= 0.0s | rem=   277s
  [Trainer] Epoch 108 | train=100.00% val=29.50% gap=+70.50 | loss=0.4233 | lr=0.00897 | t/ep=  0.5s t/eval= 0.0s | rem=   277s
  [Trainer] Epoch 109 | train=100.00% val=30.33% gap=+69.67 | loss=0.4230 | lr=0.00895 | t/ep=  0.5s t/eval= 0.0s | rem=   276s
  [Trainer] Epoch 110 | train=100.00% val=31.00% gap=+69.00 | loss=0.4228 | lr=0.00893 | t/ep=  0.5s t/eval= 0.0s | rem=   276s
  [Trainer] Epoch 111 | train=100.00% val=29.50% gap=+70.50 | loss=0.4230 | lr=0.00891 | t/ep=  0.5s t/eval= 0.0s | rem=   275s
  [Trainer] Epoch 112 | train=100.00% val=30.00% gap=+70.00 | loss=0.4233 | lr=0.00889 | t/ep=  0.5s t/eval= 0.0s | rem=   274s
  [Trainer] Epoch 113 | train=100.00% val=30.17% gap=+69.83 | loss=0.4230 | lr=0.00887 | t/ep=  0.5s t/eval= 0.0s | rem=   274s
  [Trainer] Epoch 114 | train=100.00% val=30.00% gap=+70.00 | loss=0.4229 | lr=0.00885 | t/ep=  0.5s t/eval= 0.0s | rem=   273s
  [Trainer] Epoch 115 | train=100.00% val=30.33% gap=+69.67 | loss=0.4232 | lr=0.00883 | t/ep=  0.5s t/eval= 0.0s | rem=   273s
  [Trainer] Epoch 116 | train=100.00% val=30.17% gap=+69.83 | loss=0.4230 | lr=0.00881 | t/ep=  0.5s t/eval= 0.0s | rem=   272s
  [Trainer] Epoch 117 | train=100.00% val=30.17% gap=+69.83 | loss=0.4232 | lr=0.00879 | t/ep=  0.5s t/eval= 0.0s | rem=   272s
  [Trainer] Epoch 118 | train=100.00% val=30.50% gap=+69.50 | loss=0.4228 | lr=0.00877 | t/ep=  0.5s t/eval= 0.0s | rem=   271s
  [Trainer] Epoch 119 | train=100.00% val=30.33% gap=+69.67 | loss=0.4231 | lr=0.00875 | t/ep=  0.5s t/eval= 0.0s | rem=   271s
  [Trainer] Epoch 120 | train=100.00% val=31.50% gap=+68.50 | loss=0.4229 | lr=0.00873 | t/ep=  0.5s t/eval= 0.0s | rem=   270s
  [Trainer] Epoch 121 | train=100.00% val=29.67% gap=+70.33 | loss=0.4229 | lr=0.00871 | t/ep=  0.6s t/eval= 0.0s | rem=   269s
  [Trainer] Epoch 122 | train=100.00% val=30.83% gap=+69.17 | loss=0.4227 | lr=0.00869 | t/ep=  0.5s t/eval= 0.0s | rem=   269s
  [Trainer] Epoch 123 | train=100.00% val=31.33% gap=+68.67 | loss=0.4228 | lr=0.00867 | t/ep=  0.5s t/eval= 0.0s | rem=   268s
  [Trainer] Epoch 124 | train=100.00% val=31.00% gap=+69.00 | loss=0.4228 | lr=0.00865 | t/ep=  0.5s t/eval= 0.0s | rem=   268s
  [Trainer] Epoch 125 | train=100.00% val=30.33% gap=+69.67 | loss=0.4227 | lr=0.00863 | t/ep=  0.5s t/eval= 0.0s | rem=   267s
  [Trainer] Epoch 126 | train=100.00% val=29.50% gap=+70.50 | loss=0.4227 | lr=0.00861 | t/ep=  0.5s t/eval= 0.0s | rem=   267s
  [Trainer] Epoch 127 | train=100.00% val=30.83% gap=+69.17 | loss=0.4226 | lr=0.00859 | t/ep=  0.5s t/eval= 0.0s | rem=   266s
  [Trainer] Epoch 128 | train=100.00% val=30.67% gap=+69.33 | loss=0.4226 | lr=0.00856 | t/ep=  0.5s t/eval= 0.0s | rem=   265s
  [Trainer] Epoch 129 | train=100.00% val=30.33% gap=+69.67 | loss=0.4226 | lr=0.00854 | t/ep=  0.5s t/eval= 0.0s | rem=   265s
  [Trainer] Epoch 130 | train=100.00% val=30.50% gap=+69.50 | loss=0.4225 | lr=0.00852 | t/ep=  0.5s t/eval= 0.0s | rem=   264s
  [Trainer] Epoch 131 | train=100.00% val=30.17% gap=+69.83 | loss=0.4227 | lr=0.00850 | t/ep=  0.5s t/eval= 0.0s | rem=   264s
  [Trainer] Epoch 132 | train=100.00% val=30.67% gap=+69.33 | loss=0.4227 | lr=0.00848 | t/ep=  0.5s t/eval= 0.0s | rem=   263s
  [Trainer] Epoch 133 | train=100.00% val=30.33% gap=+69.67 | loss=0.4228 | lr=0.00846 | t/ep=  0.5s t/eval= 0.0s | rem=   263s
  [Trainer] Epoch 134 | train=100.00% val=30.50% gap=+69.50 | loss=0.4228 | lr=0.00843 | t/ep=  0.5s t/eval= 0.0s | rem=   262s
  [Trainer] Epoch 135 | train=100.00% val=30.33% gap=+69.67 | loss=0.4226 | lr=0.00841 | t/ep=  0.5s t/eval= 0.0s | rem=   262s
  [Trainer] Epoch 136 | train=100.00% val=30.83% gap=+69.17 | loss=0.4226 | lr=0.00839 | t/ep=  0.5s t/eval= 0.0s | rem=   261s
  [Trainer] Epoch 137 | train=100.00% val=30.33% gap=+69.67 | loss=0.4229 | lr=0.00837 | t/ep=  0.5s t/eval= 0.0s | rem=   261s
  [Trainer] Epoch 138 | train=100.00% val=31.00% gap=+69.00 | loss=0.4227 | lr=0.00835 | t/ep=  0.5s t/eval= 0.0s | rem=   260s
  [Trainer] Epoch 139 | train=100.00% val=30.33% gap=+69.67 | loss=0.4227 | lr=0.00832 | t/ep=  0.5s t/eval= 0.0s | rem=   259s
  [Trainer] Epoch 140 | train=100.00% val=31.00% gap=+69.00 | loss=0.4225 | lr=0.00830 | t/ep=  0.5s t/eval= 0.0s | rem=   259s
  [Trainer] Epoch 141 | train=100.00% val=30.50% gap=+69.50 | loss=0.4225 | lr=0.00828 | t/ep=  0.5s t/eval= 0.0s | rem=   258s
  [Trainer] Epoch 142 | train=100.00% val=29.33% gap=+70.67 | loss=0.4225 | lr=0.00825 | t/ep=  0.5s t/eval= 0.0s | rem=   258s
  [Trainer] Epoch 143 | train=100.00% val=31.50% gap=+68.50 | loss=0.4226 | lr=0.00823 | t/ep=  0.5s t/eval= 0.0s | rem=   257s
  [Trainer] Epoch 144 | train=100.00% val=30.00% gap=+70.00 | loss=0.4227 | lr=0.00821 | t/ep=  0.5s t/eval= 0.0s | rem=   257s
  [Trainer] Epoch 145 | train=100.00% val=31.17% gap=+68.83 | loss=0.4226 | lr=0.00818 | t/ep=  0.5s t/eval= 0.0s | rem=   256s
  [Trainer] Epoch 146 | train=100.00% val=30.83% gap=+69.17 | loss=0.4228 | lr=0.00816 | t/ep=  0.5s t/eval= 0.0s | rem=   256s
